Part Number,Description,Qty Required,Preferred Vendor,Notes
140-00505,"COMPRESSION 1/2"" OD X 3/4 MNPT ADAPTER, POLYPRO",,PARKER,supplier PN: P8MC12
140-00508,"SOLENOID VALVE, 2-WAY NC, 1/2IN NPT,  90PSI, 24VDC",,GC Valves,supplier PN: NS201YH16CPDG4
140-00512,"RIV NUT, M4X0.7, ZINC PLATED STEEL",,MCMASTER-CARR,supplier PN: 95105A167
140-00515,"ADAPTER, 0.75 COMP, 0.5 BSPP, NO GASKET, 316SS",,Superlok,supplier PN: SGMC-12-8G-S316
140-00516,"ADAPTER, 0.25 COMP, 0.5 BSPP, NO GASKET, 316SS",,Superlok,supplier PN: SGMC-4-8G-S316
140-00520,"CORD GRIP, 3/4 KNOCKOUT SIZE, CORD OD 0.06 - 0.13, ALUMINUM",,MCMASTER-CARR,supplier PN: 7529K401
140-00521,SCREW-PLUG IMMERSION HEATING ELEMENT,,MCMASTER-CARR,supplier PN: 3656k6
140-00524,HONEYWELL H2 LEAK DETECTOR SENSOR,,Honeywell,supplier PN: HLD-111-111-001 | alt: DigiKey 480-HLD-111-111-001-ND
140-00540,"ELBOW, 0.75 COMP, 0.75 MNPT, 316SS",,Superlok,supplier PN: SME 12-12N
140-00541,"ADAPTER, 0.75 MGHT, 0.75 MNPT, 303 SS",,MCMASTER-CARR,supplier PN: 6224T18
140-00542,"ADAPTER, 0.75 FGHT, 0.75 MNPT, SWIVEL, 303SS",,MCMASTER-CARR,supplier PN: 7476T54
140-00543,"ADAPTER, 0.75 FGHT, 0.75 MNPT, RIGID, 303SS",,,
140-00544,"ADAPTER, 0.5 MNPT, 0.25 FNPT, 316SS",,MCMASTER-CARR,supplier PN: 4452K165
140-00546,"RIGHT ANGLE TEE, UNIVERSAL THREAD 1/4"" X PUSH TO CONNECT 1/2"", NI PLATED BRASS",,MCMASTER-CARR,supplier PN: 7397N96
140-00547,"STRAIGHT CONNECTOR, 1/4"" NPT MALE, 304SS",,,
140-00558,"SOFT TUBE SUPPORT, 0.5 IN, BARBED, 316 SS",,Superlok,supplier PN: SI8-6-S316
140-00579,"LOOP CLAMP, 1.75"" ID, VIBRATION DAMPING",,MCMASTER-CARR,supplier PN: 3177T19
140-00580,"ADAPTER, 1"" MNPT, 0.75 FNPT, ALUMINUM",,MCMASTER-CARR,supplier PN: 44705k284
140-00581,"CORD GRIP, 3/4 KNOCKOUT SIZE, CORD OD 0.19"" - 0.25"", ALUMINUM",,MCMASTER-CARR,supplier PN: 7529K403
140-00585,"STRAIGHT ADAPTER, 3/4"" OD COMPRESSION X 3/4"" NPT MALE, 316 SS",,MCMASTER-CARR,supplier PN: 5182K816
140-00592,"WORM-DRIVE CLAMPS FOR HOSE, 0.5"" BAND WIDTH, 46 TO 77MM CLAMP ID",,MCMASTER-CARR,supplier PN: 5415K21
140-00601,"HOSE, BRAIDED, 18"" LONG, 0.75 FNPT X 0.75 FNPT, 316 SS",,MCMASTER-CARR,supplier PN: 5793T18
140-00621,"HOSE, BRAIDED, 60"" LONG, 2"" OD TUBE TRI CLAMP, 316 SS",,MCMASTER-CARR,supplier PN: 1111N19-1111N199
140-00630,"ADAPTER, 0.5 FNPT X 0.75 MNPT, CLASS 3000, 316SS",,ZORO,supplier PN: 1RTT2
140-00635,"INSULATION, FIBERGLASS, ELBOW, VELCRO JACKET, GRAY, 7/8"" ID, 3/8"" THICKNESS, 1.7 R-VALUE, 260C MAX",,MCMASTER-CARR,supplier PN: 46015K811
140-00636,"INSULATION, FIBERGLASS, ELBOW, VELCRO JACKET, GRAY, 1-3/8"" ID, 3/8"" THICKNESS, 1.7 R-VALUE, 260C MAX",,MCMASTER-CARR,supplier PN: 46015K813
140-00637,"INSULATION, FIBERGLASS, TEE, VELCRO JACKET, GRAY, 7/8"" ID, 3/8"" THICKNESS, 1.7 R-VALUE, 260C MAX",,MCMASTER-CARR,supplier PN: 46015K111
140-00639,"HEATING TAPE, AMOX OVERBRAID, ONE SIDED LEADS, 240V, 6 FT, 1/2"" WIDE, 312W, 8.67 W/IN2, 760C MAX",,HTS AMPTEK,supplier PN: AWH-052-060DM
140-00641,"HEATING TAPE, AMOX OVERBRAID, ONE SIDED LEADS, 240V, 6 FT, 1/2"" WIDE, 520W, 8.67 W/IN2, 760C MAX",,HTS AMPTEK,supplier PN: AWH-052-100DM
160-00017,"TAPE, FIBERGLASS, ROLL, 1/2"" WIDE, 260C MAX",,HTS AMPTEK,supplier PN: ADHESIVE TAPE (NO UNIQUE P/N)
160-00018,"INSULATION, FIBERGLASS, TUBE, VELCRO JACKET, GRAY, 7/8"" ID, 3/8"" THICKNESS, 1.7 R-VALUE, 260C MAX",,MCMASTER-CARR,supplier PN: 45985K31
